id,failure_class,root_invariant,pleris_status,prevention_layers,proposed_treatment,priority,evidence_ids
H10,A remote transaction is falsely advertised as atomic,Atomicity is limited to the actual commit authority and protocol,specified but unproven,B+D+H,Reject transaction claims spanning unsupported authorities; require a workflow contract,P0,"PGISO,TEMPA,PWP"
I01,Cache identity omits an output-determining input,Equivalent cache keys imply equivalent permitted responses for the declared freshness model,partially covered,B+C+D,"Derive key from audience, parameters and tracked environmental dependencies",P0,"CACHEPOISON,HTTP,PCH"
I02,"Read tracking misses absence, range or predicate dependencies",Changes capable of changing a query result invalidate it even when no prior row was read,specified but unproven,C+D,"Record negative reads, ranges, indexes and membership; fall back conservatively when incomplete",P0,"PGISO,PMX,PWP"
I03,External writers bypass the invalidation authority,Freshness guarantees cover every allowed write path,specified but unproven,B+D+E+H,Declare write authority coverage; use CDC or weaken freshness explicitly,P0,"PWP,PCH"
I04,"Cached computation depends on untracked time, locale or configuration","Every changing input has a revision, bounded expiry or explicit noncacheable status",partially covered,B+C,"Make locale, policy, feature flags, time buckets and external revisions dependencies",P0,"PCH,PWP,SRM"
I05,Independently fresh fragments form an incoherent page,"Related observations meet the declared consistency cut, not only individual TTLs",specified but unproven,D+H,Carry revision/causal constraints across resource and fragment boundaries,P0,"PGISO,JEPSEN,PWP"
I06,Error or negative result is cached as durable success,"Cacheability and expiry apply to each outcome, not just value type",specified but unproven,C+D+H,"Separate missing, unauthorized, transient failure and stale success; derive response directives",P1,"HTTP,PWP"
I07,HTTP validator refers to the wrong representation or audience,A validator certifies the selected representation within its key and authorization context,specified but unproven,C+D+E,Derive ETags and conditional responses from exact materialization identity,P1,"HTTP,CACHEPOISON,PCH"
I08,Fine-grained invalidation claims completeness without proof,Precision is an optimization; coverage of all result-changing inputs is the correctness obligation,partially covered,B+D+G,Attach dependency-coverage status; incomplete knowledge triggers broad invalidation or stated staleness,P0,"PRQ,PST,PWP"
I09,Regeneration publishes a partial or failed replacement,Materialization publication is atomic and validates its complete identity and policy,partially covered,D+H,Stage then publish; preserve previous authorized result only when staleness policy allows,P1,"PCH,PST"
