id,failure_class,root_invariant,pleris_status,prevention_layers,proposed_treatment,priority,evidence_ids
A01,Unchecked call and return types,Every callable use satisfies its resolved parameter and result relation,partially covered,B,Finish instantiate/infer/unify and return checking before claiming downstream soundness,P0,"PNX,PMS"
A02,Representation mistaken for nominal identity,ABI equivalence never implies domain-type equivalence,partially covered,A+B,Keep nominal identity through checking; erase only during certified lowering,P0,PNX
A03,Unknown evidence treated as harmless,"Unresolved facts are Blocked, not pure, public or universally placeable",partially covered,B,No successful contract or code generation may depend on unresolved semantic facts,P0,"PRQ,PNX"
A04,Generic arguments or binders lost,Type arguments and binder identity participate in every relevant relation,partially covered,B,Decide callable-generic surface; recursively resolve and substitute once,P0,PNX
A05,Absence confused with valid data,"Absent, unknown, empty and default have distinct meanings where the domain distinguishes them",partially covered,A+D,Derive explicit presence decoding; preserve domain-specific default policy,P1,"PB,PCH"
A06,Impossible state combinations and ignored variants,Represent alternatives as variants and handle every reachable alternative,partially covered,A+B,Derive exhaustive matches from resolved constructors; separately validate runtime transitions,P0,"PPR,PNX"
A07,Quantity and identifier conflation,Meaningful units and identifier domains cannot be silently interchanged,specified but unproven,A+B,Standard quantity/identifier types; conversions name policy and possible loss,P1,"PCH,PWP"
A08,"Arithmetic precision, overflow and rounding loss",Numeric operations preserve their declared range and rounding semantics or fail explicitly,partially covered,B+D+H,Checked size/time arithmetic; money rounding policy; lossless wire codecs,P1,"HTTP,PCH"
A09,Structural validity mistaken for authoritative truth,"Decoding establishes shape, not the authority of the fact",missing,A+B+D,"Separate untrusted input, validated shape and server-endorsed domain evidence",P0,"JIF,JIFCHECK,PWP"
A10,A valid transition violates an aggregate business invariant,Reachable distributed states must preserve declared business constraints,partially covered,D+H+G,Name aggregate invariants and coordination owner; do not infer business rules from types alone,P0,"ICONF,CALM,PWP"
A11,Polymorphic generalization shares incompatible mutable state,A generalized value cannot share mutable storage across incompatible instantiations,missing,B,Define generalization with mutation/effect inference; test mutable closures and valid pure higher-order functions,P0,"VALUE,PNX"
A12,Variance widens a mutable or capability-bearing value unsafely,Substitution preserves both permitted writes and accepted inputs,missing,B,Infer variance from definitions; keep authority-bearing mutable parameters invariant where required,P0,"VARIANCE,PNX"
A13,Handled capability requirement is mistaken for observational purity,Discharging an effect interface does not prove that execution has no externally observable consequence,partially covered,B,"State distinct judgments for purity, needed authority, captured authority and placement; do not infer one by erasing another",P0,"EFFCAP,KOKA,PCH"
A14,Multi-shot resumption duplicates affine resources or business effects,Continuation reuse respects captured resource multiplicity and observable effect semantics,specified but unproven,B+D,Keep ordinary platform effects one-shot; require proof or confined pure region for multi-shot reuse,P0,"KOKA,PCH"
A15,"Foreign exception, trap or cancellation bypasses declared failure handling",Failure across an adapter boundary is represented or terminates its explicit isolation domain,specified but unproven,B+D,"Map recoverable foreign failures; distinguish cancellation, domain rejection and fatal host fault",P1,"PWP,SPECC"
A16,Type inference or verification itself becomes unbounded work,Interactive checking has bounded resource use and explicit unsupported/timeout results,specified but unproven,D+G+H,Bound recursive inference/solver expansion; cache sound summaries; expose unknown rather than accepting as proven,P1,"PCH,SALSA,IVY"
B01,Route-only authorization bypass,Every protected operation enforces authorization independently of the route taken,specified but unproven,C+D,"Derive checks at commands/queries and enforce on every entry, including direct RPC",P0,"NEXT,CEDAR,PCH"
